product_name,product_price,product_manufacturer,size,quantity,colour,where_bought,status
Towels,0.00,Unknown,Large,8,Grey,Unknown,Good
Towels,0.00,Unknown,Medium,5,Grey,Unknown,Good
Towels,0.00,Unknown,Small,4,Grey,Unknown,Good
Towels,0.00,Unknown,Xsmall,6,Grey,Unknown,Good
Box of 100 Razors,20.34,Justlife,N/A,2,N/A,Aesthetic Beauty Supplies,Low
Couch Roll,47.41,Amazon Commercial,N/A,11,White,Amazon,Good
Box of 100 Spatulas,3.49,Hive of Beauty,N/A,3,N/A,Amazon,Good
Box of 10 Peel Off Wax,41.59,Casmara,N/A,1,Gold,Chris and Sons,Low
Box of 100 Waxing Strips,5.89,Unknown,N/A,1,Pink,Ebay,Low
Box of 100 Gloves,4.95,Mercator,Medium,4,Blue,Unknown,Good
Box of 100 Gloves,6.39,TouchFlex,Medium,1,Blue,Amazon,Low
Box of 200 Gloves,14.47,sempercare,Small,1,Blue,Amazon,Low
Cleansing Lotion,21.50,Clinicare,500ml,1,N/A,4T Medical,Low
Instant Painless Peel,35.00,Clinicare,250ml,2,N/A,4T Medical,Low
Skin Toner,28.90,Clinicare,500ml,2,N/A,4T Medical,Low
2 in 1 Gel Vitamin C,45.00,Clinicare,500ml,1,N/A,4T Medical,Low
Moisturising Essence,60.00,Clinicare,500ml,1,N/A,4T Medical,Low
Sunshield Care,12.50,Clinicare,50ml,1,N/A,4T Medical,Low
Box of 5 X3M Pure Pore Minimiser Masks,20.00,Clinicare,N/A,1,N/A,4T Medical,Low
Box of 6 Tissues,9.19,Kleenex,N/A,0,N/A,Costco,Low
Rose Water,17.40,Strictly Professional,4l,1,N/A,Chris and Sons,Low
Nail Polish Remover,2.76,Pro Impressions,125ml,1,N/A,Pro Impressions,Low
Depilatory Oil,23.88,Cirepil,1l,2,N/A,Ellisons,Low
Ultrasound Gel,10.00,Anagel,5l,0,N/A,Anagel,Low
ECG Gel,31.00,Camcare Health,5kg,2,N/A,Camcare Health,Low
Eye Protection,0.00,Unknown,N/A,4,Black,Lumenis,Good
Body and Face Moisturising Cream,60.00,NuRevital,500ml,1,N/A,Lumenis,Low
Box of 25 Return Plate,96.00,Lumenis,N/A,2,N/A,Lumenis,Low
Box of 18 Baby Wipes,13.50,Huggies,N/A,3,N/A,Amazon,Good
Towels,0.00,Unknown,Large,12,White,Unknown,Good
Towels,0.00,Unknown,Medium,9,White,Unknown,Good
Towels,0.00,Unknown,Small,8,White,Unknown,Good
Towels,0.00,Unknown,Xsmall,6,White,Unknown,Good
Peelable Wax,13.86,Outback Organics,800g,1,Jade,Ellisons,Low